clade	mutations
A	0.
A.2	0.
A.3	2.
A.3.2	7.
B	6.
B.1	10.
B.1.1	9.
B.1.2	12.
B.1.2.1	14.
B.1.2.1.1	19.
B.2	11.
B.3	9.
B.4	12.
C	7.
C.1	10.
D	17.
E	13.
E.1	15.
E.2	15.
F	19.
F.1	19.
F.1.1	20.
G	22.
G.1	24.
G.1.1	26.
G.1.1.1	27.
G.1.1.2	27.
G.1.2	27.
G.1.3	25.5
G.1.3.1	27.5
G.1.3.2	27.
G.2	25.
G.2.1	26.
G.2.2	28.
G.3	23.
G.4	24.5
J	29.
J.1	30.
J.2	31.5
J.3	28.
J.4	30.
