clade	S1_mutations
19A	0.
19B	0.
20A	1.
20B	1.
20C	1.
20D	2.
20E	3.
20F	2.
20G	1.
20H	8.
20I	6.
20J	10.
21A	8.
21B	7.
21C	4.5
21D	7.
21F	5.
21G	7.
21H	9.
21I	9.
21J	9.
21K	28.
21L	25.
22A	27.
22B	27.
22C	26.
22D	34.
22E	30.
22F	36.
23A	37.
23B	38.
23C	36.
23D	36.
23E	38.
23F	38.
23G	40.
23H	40.
24A	51.
24B	53.
24C	53.
24D	52.
24E	54.
24F	55.
24G	55.
