lineage	S1_mutations
B.1.243	1.
B.1.258	7.
B.1.311	1.
B.1.320	1.
B.1.324	1.
B.1.346	2.
B.1.349	1.
B.1.351	7.5
B.1.351.2	8.
B.1.351.3	8.
B.1.356	1.
B.1.36	1.
B.1.36.1	3.
B.1.36.16	2.
B.1.36.18	3.
B.1.362	1.
B.1.36.29	2.
B.1.36.31	3.5
B.1.36.7	2.
B.1.36.8	1.5
B.1.391	1.
B.1.393	1.
B.1.396	1.
B.1.398	3.
B.1.416	1.5
B.1.428	2.
B.1.429	4.5
B.1.438.1	2.
B.1.441	1.
B.1.459	1.
B.1.466	1.
B.1.466.2	3.
B.1.468	1.
B.1.470	1.
B.1.471	2.
B.1.480	2.
B.1.497	1.
B.1.517	2.
B.1.523	1.
B.1.524	1.
B.1.525	7.
B.1.526	5.
B.1.530	4.
B.1.558	2.
B.1.600	1.
B.1.609	1.
B.1.617.1	7.
B.1.617.2	9.
B.1.619	4.
B.1.619.1	4.
B.1.620	10.
B.1.621	9.
B.1.631	9.
B.1.637	7.
B.1.640.1	10.
B.1.78	2.
B.1.8	1.
B.1.9	1.
B.3	0.
B.4	0.
B.40	0.
B.6	0.
B.6.6	0.
BA.1	27.
BA.1.1	28.
BA.1.1.1	28.
BA.1.1.10	28.
BA.1.1.14	28.
BA.1.1.2	28.
BA.1.13.1	27.5
BA.1.14	27.
BA.1.15	27.
BA.1.15.1	26.
BA.1.1.7	24.
BA.1.17	27.
BA.1.17.2	27.
BA.1.18	27.
BA.2	25.
BA.2.10	24.
BA.2.10.1	26.
BA.2.12.1	26.
BA.2.13.1	26.
BA.2.18	25.
BA.2.2	25.
BA.2.2.1	25.
BA.2.23	24.
BA.2.29	25.
BA.2.3	25.
BA.2.3.1	26.
BA.2.31	26.
BA.2.31.1	26.
BA.2.3.14	25.
BA.2.3.2	25.
BA.2.32	24.5
BA.2.3.20	34.
BA.2.3.7	26.5
BA.2.37	25.
BA.2.38	25.
BA.2.38.1	26.
BA.2.43	24.
BA.2.56	26.
BA.2.6	26.
BA.2.64	24.
BA.2.65	25.
BA.2.75	31.5
BA.2.75.1	32.
BA.2.75.2	33.
BA.2.76	27.
BA.2.76.1	28.
BA.2.78	26.
BA.2.86	50.
BA.2.86.1	50.
BA.2.86.3	51.
BA.2.9	25.
BA.2.9.5	25.
BA.2.9.7	25.
BA.4	28.
BA.4.1	27.
BA.4.1.1	27.
BA.4.1.9	27.
BA.4.6	29.
BA.4.6.5	29.
BA.5	27.
BA.5.1	27.
BA.5.10.1	30.
BA.5.1.1	29.
BA.5.11	27.
BA.5.1.10	27.
BA.5.1.18	28.
BA.5.1.22	27.
BA.5.1.23	27.
BA.5.1.3	28.
BA.5.1.30	27.
BA.5.1.5	26.
BA.5.1.6	27.
BA.5.1.7	27.
BA.5.2	27.
BA.5.2.1	27.
BA.5.2.16	27.5
BA.5.2.19	27.
BA.5.2.2	27.
BA.5.2.20	27.
BA.5.2.23	30.
BA.5.2.24	29.
BA.5.2.25	27.
BA.5.2.3	27.
BA.5.2.34	28.
BA.5.2.47	28.
BA.5.2.48	27.
BA.5.2.49	27.
BA.5.2.59	27.
BA.5.2.6	28.
BA.5.3.1	27.
BA.5.5	28.
BA.5.6	27.
BE.1	27.5
BE.10	29.5
BE.1.1	27.
BE.1.1.1	29.
BE.1.1.2	27.
BE.13	28.
BE.3	27.
BE.4	26.5
BE.8	28.
BE.9	30.
BF.1	27.
BF.13	30.
BF.14	28.
BF.2	26.
BF.21	27.
BF.24	27.
BF.28	27.
BF.5	27.5
BF.7	28.
BF.7.14	28.
BF.7.14.1	28.5
BF.7.14.3	29.5
BF.7.14.4	28.
BF.7.14.5	28.
BF.7.4	28.
BF.7.4.1	28.
BF.7.6	28.
BF.7.8	28.
BF.9	27.
BG.2	26.
BH.1	30.
BL.1	32.
BL.3	29.
BL.4	32.5
BM.1.1.3	32.5
BM.2.1	32.
BN.1	34.5
BN.1.10	35.5
BN.1.2	34.
BN.1.2.3	35.
BN.1.3	34.
BN.1.3.1	34.
BN.1.3.5	34.
BN.1.3.6	34.
BN.1.3.7	34.
BN.1.9	33.
BN.3	32.
BN.5	30.
BQ.1	28.
BQ.1.1	30.
BQ.1.1.1	33.
BQ.1.1.10	31.
BQ.1.1.15	32.
BQ.1.1.18	30.
BQ.1.12	29.
BQ.1.1.24	31.
BQ.1.1.31	31.5
BQ.1.1.4	29.
BQ.1.14	29.
BQ.1.1.41	31.
BQ.1.15	30.
BQ.1.1.51	31.
BQ.1.1.59	31.
BQ.1.1.70	30.
BQ.1.1.76	30.
BQ.1.2	30.
BQ.1.22	32.
BQ.1.23	30.
BQ.1.25	30.
BQ.1.26.1	30.
BQ.1.8	30.
C.14	2.
C.35	1.
C.36	2.
C.36.3	6.
C.37	7.
C.38	4.
CA.3	33.
CH.1.1.1	37.
CH.1.1.11	34.5
CH.1.1.2	35.
CK.1	31.
CK.1.1.2	30.
CM.8.1	34.
D.2	2.
DV.6	36.
DV.7.1.4	36.
DY.1	28.
DY.2	27.
DY.3	27.
DY.4	27.
DZ.1	27.
EF.1.1	31.
EG.1	37.
EG.1.3	37.
EG.13	36.5
EG.1.6	37.
EG.2	37.
EG.2.3	36.
EG.4	36.5
EG.5.1	39.
EG.5.1.1	38.
EG.5.1.3	38.
EG.5.1.4	38.
EG.5.1.6	39.
EG.5.1.8	40.
EG.5.2	36.5
EG.6.1	38.
EJ.3	34.
EP.1.1	36.
EU.1.1	38.
EY.1	33.
FC.1	31.
FD.1	37.
FD.3	38.
FD.4	37.
FE.1.1	36.5
FE.1.1.5	38.
FE.1.2	37.
FK.1.3.2	37.
FL.1	39.
FL.10	36.
FL.13.1	37.
FL.13.4	38.
FL.14	36.5
FL.15	38.
FL.1.5.1	36.5
FL.15.2	38.
FL.2	35.
FL.21	36.
FL.2.2.1	36.
FL.2.3	36.
FL.23.1	37.
FL.2.4	36.
FL.24.1	37.
FL.2.5	37.
FL.26	36.
FL.3	37.
FL.31	36.
FL.33.1	33.
FL.35.1	36.
FL.36	38.
FL.37	36.
FL.4	36.
FL.4.11	36.
FL.4.3	35.
FL.4.6	36.
FL.4.8	37.
FL.5	36.
FP.3	36.
FR.1.1	36.
FU.1	38.
FU.2	38.
FU.2.1	40.
FU.3	36.
FW.3	39.
FY.3.1	38.
FY.3.2	37.
FY.3.3	37.
FY.5	39.
GA.1	37.
GA.2.1	40.
GA.4.1	40.
GE.1	39.
GE.1.1	40.
GE.1.2.2	40.
GE.1.4	38.
GE.1.6	40.
GF.1	36.
GJ.1	40.
GJ.1.2	38.
GJ.6	40.
GK.1	39.
GK.1.1	40.
GK.1.1.1	39.5
GK.1.6.1	40.
GK.1.8	40.5
GK.3.1	39.
GM.3	37.
GP.2	35.
GR.1	38.
GS.4.1	38.
GS.7	37.
GU.1	38.
GW.1	37.
GW.5.1	39.
GW.5.2	39.
GY.5	37.
GZ.1	36.
HF.1	38.5
HH.1	38.
HH.2	40.
HH.6	38.5
HK.1	39.5
HK.13.1	40.5
HK.14	39.
HK.27	37.
HK.27.1	39.
HK.27.1.1	40.
HK.3	39.
HK.30	38.
HK.3.1	40.5
HK.3.13	40.
HK.3.2	40.
HK.32	39.
HK.3.2.2	41.
HK.3.6	40.
HK.3.7	40.
HK.4	39.
HK.6	38.
HK.8	39.
HK.8.1	39.
HN.5	37.
HN.6	38.
HS.1	36.
HV.1	40.
HV.1.11	40.
HW.1	34.
HZ.1	36.
JB.2	40.
JD.1.1	39.
JD.1.1.1	40.
JD.2	38.
JG.3	39.
JG.3.1	40.
JH.1	36.
JJ.1	39.
JM.2	38.
JN.1	51.
JN.1.1	51.
JN.1.1.1	52.
JN.1.11	50.5
JN.1.11.1	52.
JN.1.1.2	52.
JN.1.1.3	51.
JN.1.16	52.
JN.1.16.1	52.
JN.1.16.2	53.
JN.1.18	50.5
JN.1.18.2	53.
JN.1.18.3	51.
JN.1.18.4	53.
JN.1.1.9	51.
JN.1.2	51.
JN.1.20	52.
JN.1.22	51.5
JN.1.32	50.
JN.1.37	52.
JN.1.39	50.5
JN.1.39.2	53.
JN.1.39.3	51.
JN.1.4	51.
JN.1.42	51.
JN.1.43.1	51.
JN.1.44.1	51.
JN.1.4.5	51.
JN.1.45	51.
JN.1.4.6	53.
JN.1.4.7	51.
JN.1.47	51.
JN.1.48.2	54.
