variant	log_fitness
B	-0.0489
B.1	0.0003
B.1.1	0.0018
B.1.2.1	0.0585
B.1.2.1.1	0.1825
B.2	0.0286
B.3	0.0104
C	-0.0069
C.1	0.0665
D	0.1623
E	0.0918
E.1	0.1375
E.2	0.1079
G.1	0.3077
G.1.1	0.3326
G.1.1.1	0.2445
G.1.1.2	0.3936
G.1.3	0.2921
G.1.3.1	0.301
G.1.3.2	0.3063
G.2	0.347
G.2.1	0.3758
G.2.2	0.3758
J	0.4086
J.1	0.4774
J.2	0.523
