variant	log_fitness
A	0.3104
A.1	-0.1065
A.2.5	0.373
A.3	-0.0812
AY.1	0.6151
AY.100	0.6738
AY.103	0.8085
AY.107	0.6639
AY.110	0.5797
AY.113	0.6761
AY.114	0.626
AY.116.1	0.626
AY.117	0.675
AY.118	0.6406
AY.119	0.6621
AY.119.2	0.6738
AY.120.1	0.6318
AY.121	0.705
AY.122	0.6482
AY.125	0.6986
AY.127	0.7144
AY.13	0.5655
AY.14	0.5771
AY.2	0.5181
AY.20	0.6444
AY.25	0.8086
AY.25.1	0.6616
AY.25.1.1	0.6304
AY.26	0.5993
AY.3	0.8047
AY.3.1	0.6434
AY.3.3	0.6968
AY.33	0.6559
AY.34.1	0.7118
AY.35	0.5897
AY.36	0.6762
AY.37	0.5998
AY.39	0.6719
AY.39.1	0.6667
AY.4	0.6807
AY.43	0.7091
AY.44	0.8022
AY.46.1	0.6915
AY.46.4	0.6559
AY.47	0.6231
AY.48	0.5429
AY.5	0.6298
AY.52	0.5384
AY.5.3	0.6478
AY.54	0.5993
AY.62	0.5768
AY.64	0.62
AY.67	0.5579
AY.75	0.6067
AY.9	0.6328
AY.98.1	0.6808
B	0.5469
B.1	0.401
B.1.1	0.1154
B.1.1.1	0.2975
B.1.110.3	0.0886
B.1.1.207	0.1332
B.1.126	0.1063
B.1.1.291	0.0392
B.1.1.316	0.1464
B.1.1.318	0.3633
B.1.1.416	0.1281
B.1.1.434	0.0992
B.1.1.519	0.2511
B.1.1.529	2.4581
B.1.1.7	0.3416
B.1.2	0.1261
B.1.206	0.044
B.1.232	0.1348
B.1.234	0.1186
B.1.240	0.0824
B.1.241	0.1021
B.1.243	0.1074
B.1.311	0.1224
B.1.320	-0.001
B.1.349	0.1116
B.1.351	0.3232
B.1.371	-0.0284
B.1.396	0.0993
B.1.400	0.1056
B.1.409	0.1424
B.1.426	0.0421
B.1.427	0.201
B.1.429	0.2012
B.1.436	0.1036
B.1.509	0.0713
B.1.517	0.1467
B.1.525	0.2934
B.1.526	0.3085
B.1.561	0.124
B.1.565	0.0936
B.1.575	0.2299
B.1.577	0.1138
B.1.588	0.1534
B.1.609	0.1188
B.1.617.2	0.813
B.1.621	0.4865
B.1.621.1	0.4913
B.1.623	0.2704
B.1.637	0.3367
BA.1	1.1764
BA.1.1	1.2827
BA.1.1.10	1.2909
BA.1.1.14	1.2276
BA.1.1.16	1.2606
BA.1.1.18	1.2845
BA.1.1.2	1.2061
BA.1.15	1.2132
BA.1.15.2	1.2655
BA.1.17	1.1593
BA.1.17.2	1.1652
BA.1.1.8	1.2105
BA.1.18	1.1666
BA.1.20	1.2148
BA.2	2.0269
BA.2.1	1.5407
BA.2.10	1.4302
BA.2.10.1	1.4446
BA.2.12.1	1.6818
BA.2.13	1.6885
BA.2.18	1.6613
BA.2.21	1.5261
BA.2.23	1.579
BA.2.26	1.4891
BA.2.3	1.5023
BA.2.31	1.5504
BA.2.3.17	1.447
BA.2.3.20	2.0997
BA.2.37	1.5154
BA.2.48	1.6353
BA.2.65	1.5752
BA.2.7	1.4652
BA.2.75	2.0387
BA.2.75.2	2.0552
BA.2.75.3	2.0368
BA.2.86.1	2.5887
BA.2.9	1.522
BA.2.9.7	1.6556
BA.4	1.8624
