lineage	non_spike_mutations
A	4.
A.1	6.
A.18	8.
A.19	8.
A.2	8.
A.21	8.
A.23	15.
A.23.1	16.
A.2.5	25.
A.25	8.
A.2.5.1	27.
A.2.5.2	28.
A.2.5.3	27.
A.27	19.
A.28	18.
A.29	19.
A.3	13.
A.5	4.
AD.2	17.
AE.1	10.
AE.8	14.
AT.1	28.
AU.2	21.
AU.3	20.
AY.1	25.
AY.10	26.
AY.100	29.
AY.101	31.
AY.102	29.
AY.102.1	32.
AY.102.2	34.
AY.103	27.
AY.104	27.
AY.105	27.
AY.106	26.
AY.107	27.
AY.108	30.
AY.109	28.
AY.11	25.
AY.110	26.
AY.111	26.
AY.112	26.
AY.113	30.
AY.114	28.
AY.116	26.
AY.116.1	29.
AY.117	30.
AY.118	28.
AY.119	27.
AY.119.1	35.
AY.119.2	27.
AY.120	27.
AY.120.1	28.
AY.120.2	28.
AY.120.2.1	31.
AY.121	29.
AY.121.1	37.
AY.122	26.
AY.122.1	30.
AY.122.2	28.
AY.122.3	33.
AY.123	32.
AY.123.1	34.
AY.124	28.
AY.124.1	33.
AY.125	32.
AY.126	30.
AY.127	28.
AY.127.1	34.
AY.128	29.
AY.129	28.
AY.13	26.
AY.131	29.
AY.132	40.
AY.133	29.
AY.14	26.
AY.15	26.
AY.16	25.
AY.16.1	30.
AY.17	27.
AY.19	26.
AY.2	28.
AY.20	27.
AY.20.1	34.
AY.22	30.
AY.23	28.
AY.23.1	36.
AY.24	21.
AY.25	28.
AY.25.1	30.
AY.25.1.1	32.
AY.26	23.
AY.26.1	28.
AY.27	23.
AY.28	27.
AY.29	28.
AY.29.1	28.
AY.3	29.
AY.30	30.
AY.3.1	34.
AY.3.2	34.
AY.32	28.
AY.3.3	36.
AY.33	25.
AY.33.1	32.
AY.34	32.
AY.34.1	34.
AY.34.1.1	36.
AY.34.2	36.
AY.35	25.
AY.36	30.
AY.37	23.
AY.38	24.
AY.39	27.
AY.39.1	28.
AY.39.1.1	29.
AY.39.1.2	31.
AY.39.1.3	30.
AY.39.2	31.
AY.4	26.
AY.40	33.
AY.4.1	30.
AY.41	34.
AY.4.10	36.
AY.4.2	28.
AY.42	29.
AY.4.2.1	31.
AY.42.1	32.
AY.4.2.2	29.
AY.4.2.3	29.
AY.4.3	26.
AY.43	27.
AY.43.1	31.
AY.43.2	30.
AY.43.3	30.
AY.43.4	30.
AY.43.5	33.
AY.43.6	33.
AY.43.7	30.
AY.4.4	30.
AY.44	28.
AY.4.5	28.
AY.45	27.
AY.4.6	31.
AY.46	27.
AY.46.1	28.
AY.46.2	28.
AY.46.3	31.
AY.46.4	27.
AY.46.5	29.
AY.46.6	29.
AY.4.7	31.
AY.47	24.
AY.4.8	31.
AY.48	24.
AY.4.9	30.
AY.49	28.
AY.5	26.
AY.50	27.
AY.5.1	28.
AY.51	26.
AY.5.2	29.
AY.52	28.
AY.5.3	28.
AY.53	27.
AY.5.4	28.
AY.54	28.
